Food_ID,Food_Name,Food_Category,Food_Subcategory,Packaging_ID,Packaging_Material,Evidence_Adjusted_Compatibility_Score,Evidence_Corrected_Compatibility_Class,Evidence_Coverage_Ratio,Assessment_Confidence,Indian_Relevance,Original_Food_Category,Primary_Spoilage_Mechanism,Microbial_Spoilage_Risk,Oxidation_Sensitivity,Moisture_Sensitivity,Light_Sensitivity,Mechanical_Sensitivity,Drip_Loss_Risk,Condensation_Risk,Oil_Fat_Sensitivity,Odour_Barrier_Importance,Oxygen_Requirement,Moisture_Barrier_Requirement,Breathability_Requirement,Gas_Exchange_Requirement,Mechanical_Strength_Requirement,Puncture_Resistance_Requirement,Sealability_Requirement,Leak_Resistance_Requirement,Vacuum_Packaging_Suitability,Serving_Temperature,Typical_Holding_Time,Hot_Holding_Suitability,Reheating_Requirement,Steam_Generation_Risk,Crispness_Retention_Importance,Grease_Resistance_Importance,Sauce_or_Gravy_Content,Leakage_Risk,Odour_Concern,Storage_Type,Material_Category,Structure_Type,Sealability,Gas_Permeability,Mechanical_Strength,MAP_Suitability_x,MAP_Suitability_y,int_mech_req_strength,int_seal_req_sealability,int_map_req_map,food_Moisture_Content_min,food_Moisture_Content_max,food_Moisture_Content_mid,food_Moisture_Content_n,food_Moisture_Content_missing,food_pH_min,food_pH_max,food_pH_mid,food_pH_n,food_pH_missing,food_Fat_Content_n,food_Fat_Content_missing,food_Protein_Content_n,food_Protein_Content_missing,food_Water_Activity_n,food_Water_Activity_missing,food_Respiration_Rate_min,food_Respiration_Rate_max,food_Respiration_Rate_mid,food_Respiration_Rate_n,food_Respiration_Rate_missing,food_Respiration_Temperature_min,food_Respiration_Temperature_max,food_Respiration_Temperature_mid,food_Respiration_Temperature_n,food_Respiration_Temperature_missing,food_Storage_Temperature_min,food_Storage_Temperature_max,food_Storage_Temperature_mid,food_Storage_Temperature_n,food_Storage_Temperature_missing,food_Storage_RH_min,food_Storage_RH_max,food_Storage_RH_mid,food_Storage_RH_n,food_Storage_RH_missing,food_Typical_Shelf_Life_min,food_Typical_Shelf_Life_max,food_Typical_Shelf_Life_mid,food_Typical_Shelf_Life_n,food_Typical_Shelf_Life_missing,food_Typical_Holding_Time_n,food_Typical_Holding_Time_missing,pack_OTR_min,pack_OTR_max,pack_OTR_mid,pack_OTR_n,pack_OTR_missing,pack_WVTR_min,pack_WVTR_max,pack_WVTR_mid,pack_WVTR_n,pack_WVTR_missing,pack_Film_Thickness_min,pack_Film_Thickness_max,pack_Film_Thickness_mid,pack_Film_Thickness_n,pack_Film_Thickness_missing,OTR_Min_num,OTR_Max_num,WVTR_Min_num,WVTR_Max_num,Thickness_Min_num,Thickness_Max_num,Sealability_Score_num,Gas_Permeability_Score_num,Mechanical_Strength_Score_num,MAP_Suitability_Score_num,int_moisture_wvtr,int_resp_otr,int_storage_temp_thickness,ML_Predicted_Score,ML_Predicted_Class,ML_Model_Confidence,ML_Score_Tree_SD,Prediction_Difference,Class_Agreement,Existing_Rank,ML_Rank,Rank_Changed
FRU_001,Apple,Fruit,Not Available,PM001,LDPE,72.22,Conditionally_Compatible,0.4444444444444445,Low,Not Available,Fruit,Not Available,Not Available,Not available / requires validation,Not available / requires validation,Not available / requires validation,Not available / requires validation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Low-moderate gas exchange requirement,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,Cold storage (refrigerated),Polymer film,Single polymer/coating,Excellent,High,Medium,Not Available,Suitable,Not Available__Medium,Not Available__Excellent,Not Available__Suitable,,,,0,True,-4.0,3.33,-0.33499999999999996,4,False,0,True,0,True,0,True,0.0,31.0,15.5,20,False,5101520.0,5101520.0,5101520.0,1,False,-1.0,0.0,-0.5,2,False,-95.0,90.0,-2.5,2,False,-32.0,4.0,-14.0,2,False,0,True,7400.0,7400.0,7400.0,1,False,4.0,4.0,4.0,1,False,30.0,150.0,90.0,2,False,7400.0,7400.0,4.0,4.0,30.0,150.0,4,1.0,2.0,3,,114700.0,-45.0,72.21999999999984,Conditionally_Compatible,0.963894052124858,4.066390821771942e-14,-1.5631940186722204e-13,True,1.0,1.0,0.0
FRU_001,Apple,Fruit,Not Available,PM002,LLDPE,72.22,Conditionally_Compatible,0.4444444444444445,Low,Not Available,Fruit,Not Available,Not Available,Not available / requires validation,Not available / requires validation,Not available / requires validation,Not available / requires validation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Low-moderate gas exchange requirement,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,Cold storage (refrigerated),Polymer film,Single polymer/coating,Excellent,High,High,Not Available,Suitable,Not Available__High,Not Available__Excellent,Not Available__Suitable,,,,0,True,-4.0,3.33,-0.33499999999999996,4,False,0,True,0,True,0,True,0.0,31.0,15.5,20,False,5101520.0,5101520.0,5101520.0,1,False,-1.0,0.0,-0.5,2,False,-95.0,90.0,-2.5,2,False,-32.0,4.0,-14.0,2,False,0,True,7000.0,7000.0,7000.0,1,False,4.5,4.5,4.5,1,False,30.0,150.0,90.0,2,False,7000.0,7000.0,4.5,4.5,30.0,150.0,4,1.0,3.0,3,,108500.0,-45.0,72.21999999999984,Conditionally_Compatible,0.9788927631923705,4.050467546429632e-14,-1.5631940186722204e-13,True,1.0,1.0,0.0
FRU_001,Apple,Fruit,Not Available,PM003,MDPE,72.22,Conditionally_Compatible,0.4444444444444445,Low,Not Available,Fruit,Not Available,Not Available,Not available / requires validation,Not available / requires validation,Not available / requires validation,Not available / requires validation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Low-moderate gas exchange requirement,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,Cold storage (refrigerated),Polymer film,Single polymer/coating,Excellent,Medium,High,Not Available,Suitable,Not Available__High,Not Available__Excellent,Not Available__Suitable,,,,0,True,-4.0,3.33,-0.33499999999999996,4,False,0,True,0,True,0,True,0.0,31.0,15.5,20,False,5101520.0,5101520.0,5101520.0,1,False,-1.0,0.0,-0.5,2,False,-95.0,90.0,-2.5,2,False,-32.0,4.0,-14.0,2,False,0,True,5000.0,5000.0,5000.0,1,False,3.5,3.5,3.5,1,False,40.0,150.0,95.0,2,False,5000.0,5000.0,3.5,3.5,40.0,150.0,4,2.0,3.0,3,,77500.0,-47.5,72.21999999999984,Conditionally_Compatible,0.9574844526217707,4.086207658548493e-14,-1.5631940186722204e-13,True,1.0,1.0,0.0
FRU_001,Apple,Fruit,Not Available,PM004,HDPE,72.22,Conditionally_Compatible,0.4444444444444445,Low,Not Available,Fruit,Not Available,Not Available,Not available / requires validation,Not available / requires validation,Not available / requires validation,Not available / requires validation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Low-moderate gas exchange requirement,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,Cold storage (refrigerated),Polymer film,Single polymer/coating,Good,Low,High,Not Available,Suitable,Not Available__High,Not Available__Good,Not Available__Suitable,,,,0,True,-4.0,3.33,-0.33499999999999996,4,False,0,True,0,True,0,True,0.0,31.0,15.5,20,False,5101520.0,5101520.0,5101520.0,1,False,-1.0,0.0,-0.5,2,False,-95.0,90.0,-2.5,2,False,-32.0,4.0,-14.0,2,False,0,True,1600.0,1600.0,1600.0,1,False,1.45,1.45,1.45,1,False,20.0,100.0,60.0,2,False,1600.0,1600.0,1.45,1.45,20.0,100.0,3,3.0,3.0,3,,24800.0,-30.0,72.21999999999984,Conditionally_Compatible,0.9476118879872071,4.067383956680332e-14,-1.5631940186722204e-13,True,1.0,1.0,0.0
FRU_001,Apple,Fruit,Not Available,PM005,PP,72.22,Conditionally_Compatible,0.4444444444444445,Low,Not Available,Fruit,Not Available,Not Available,Not available / requires validation,Not available / requires validation,Not available / requires validation,Not available / requires validation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Low-moderate gas exchange requirement,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,Cold storage (refrigerated),Polymer film,Single polymer/coating,Good,Low–Medium,High,Not Available,Suitable,Not Available__High,Not Available__Good,Not Available__Suitable,,,,0,True,-4.0,3.33,-0.33499999999999996,4,False,0,True,0,True,0,True,0.0,31.0,15.5,20,False,5101520.0,5101520.0,5101520.0,1,False,-1.0,0.0,-0.5,2,False,-95.0,90.0,-2.5,2,False,-32.0,4.0,-14.0,2,False,0,True,3500.0,3500.0,3500.0,1,False,1.0,2.0,1.5,2,False,20.0,100.0,60.0,2,False,3500.0,3500.0,1.0,2.0,20.0,100.0,3,2.5,3.0,3,,54250.0,-30.0,72.21999999999984,Conditionally_Compatible,0.9602548962388685,4.0624158542317207e-14,-1.5631940186722204e-13,True,1.0,1.0,0.0
FRU_001,Apple,Fruit,Not Available,PM006,CPP,72.22,Conditionally_Compatible,0.4444444444444445,Low,Not Available,Fruit,Not Available,Not Available,Not available / requires validation,Not available / requires validation,Not available / requires validation,Not available / requires validation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Low-moderate gas exchange requirement,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,Cold storage (refrigerated),Polymer film,Single polymer/coating,Excellent,Low–Medium,High,Not Available,Suitable,Not Available__High,Not Available__Excellent,Not Available__Suitable,,,,0,True,-4.0,3.33,-0.33499999999999996,4,False,0,True,0,True,0,True,0.0,31.0,15.5,20,False,5101520.0,5101520.0,5101520.0,1,False,-1.0,0.0,-0.5,2,False,-95.0,90.0,-2.5,2,False,-32.0,4.0,-14.0,2,False,0,True,3500.0,3500.0,3500.0,1,False,1.0,2.0,1.5,2,False,20.0,80.0,50.0,2,False,3500.0,3500.0,1.0,2.0,20.0,80.0,4,2.5,3.0,3,,54250.0,-25.0,72.21999999999984,Conditionally_Compatible,0.9411866898083908,4.0624158542317207e-14,-1.5631940186722204e-13,True,1.0,1.0,0.0
FRU_001,Apple,Fruit,Not Available,PM007,BOPP,72.22,Conditionally_Compatible,0.4444444444444445,Low,Not Available,Fruit,Not Available,Not Available,Not available / requires validation,Not available / requires validation,Not available / requires validation,Not available / requires validation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Low-moderate gas exchange requirement,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,Cold storage (refrigerated),Polymer film,Single polymer/coating,Conditional,Medium,High,Not Available,Suitable,Not Available__High,Not Available__Conditional,Not Available__Suitable,,,,0,True,-4.0,3.33,-0.33499999999999996,4,False,0,True,0,True,0,True,0.0,31.0,15.5,20,False,5101520.0,5101520.0,5101520.0,1,False,-1.0,0.0,-0.5,2,False,-95.0,90.0,-2.5,2,False,-32.0,4.0,-14.0,2,False,0,True,2000.0,2500.0,2250.0,2,False,5.0,7.0,6.0,2,False,15.0,50.0,32.5,2,False,2000.0,2500.0,5.0,7.0,15.0,50.0,2,2.0,3.0,3,,34875.0,-16.25,72.21999999999984,Conditionally_Compatible,0.9284438442398906,3.9942362157476045e-14,-1.5631940186722204e-13,True,1.0,1.0,0.0
FRU_001,Apple,Fruit,Not Available,PM008,Metallized BOPP,36.11,Low_Compatibility,0.4444444444444445,Low,Not Available,Fruit,Not Available,Not Available,Not available / requires validation,Not available / requires validation,Not available / requires validation,Not available / requires validation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Low-moderate gas exchange requirement,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,Cold storage (refrigerated),Polymer film,Single polymer/coating,Conditional,Very Low,High,Not Available,Suitable,Not Available__High,Not Available__Conditional,Not Available__Suitable,,,,0,True,-4.0,3.33,-0.33499999999999996,4,False,0,True,0,True,0,True,0.0,31.0,15.5,20,False,5101520.0,5101520.0,5101520.0,1,False,-1.0,0.0,-0.5,2,False,-95.0,90.0,-2.5,2,False,-32.0,4.0,-14.0,2,False,0,True,,,,0,False,,,,0,False,15.0,40.0,27.5,2,False,,,,,15.0,40.0,2,4.0,3.0,3,,,-13.75,36.22308571428564,Low_Compatibility,0.8445312909286395,0.7686614076083724,0.11308571428563852,True,30.0,32.0,1.0
FRU_001,Apple,Fruit,Not Available,PM009,PET,72.22,Conditionally_Compatible,0.4444444444444445,Low,Not Available,Fruit,Not Available,Not Available,Not available / requires validation,Not available / requires validation,Not available / requires validation,Not available / requires validation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Low-moderate gas exchange requirement,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,Cold storage (refrigerated),Polymer film,Single polymer/coating,Poor as sealant,Low–Medium,Very High,Not Available,Suitable with sealant layer,Not Available__Very High,Not Available__Poor as sealant,Not Available__Suitable with sealant layer,,,,0,True,-4.0,3.33,-0.33499999999999996,4,False,0,True,0,True,0,True,0.0,31.0,15.5,20,False,5101520.0,5101520.0,5101520.0,1,False,-1.0,0.0,-0.5,2,False,-95.0,90.0,-2.5,2,False,-32.0,4.0,-14.0,2,False,0,True,100.0,150.0,125.0,2,False,15.0,20.0,17.5,2,False,12.0,50.0,31.0,2,False,100.0,150.0,15.0,20.0,12.0,50.0,1,2.5,4.0,3,,1937.5,-15.5,72.21999999999984,Conditionally_Compatible,0.8529108818695353,4.061421504478915e-14,-1.5631940186722204e-13,True,1.0,1.0,0.0
FRU_001,Apple,Fruit,Not Available,PM010,BOPET,72.22,Conditionally_Compatible,0.4444444444444445,Low,Not Available,Fruit,Not Available,Not Available,Not available / requires validation,Not available / requires validation,Not available / requires validation,Not available / requires validation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Low-moderate gas exchange requirement,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,Cold storage (refrigerated),Polymer film,Single polymer/coating,Poor as sealant,Low–Medium,Very High,Not Available,Suitable with sealant layer,Not Available__Very High,Not Available__Poor as sealant,Not Available__Suitable with sealant layer,,,,0,True,-4.0,3.33,-0.33499999999999996,4,False,0,True,0,True,0,True,0.0,31.0,15.5,20,False,5101520.0,5101520.0,5101520.0,1,False,-1.0,0.0,-0.5,2,False,-95.0,90.0,-2.5,2,False,-32.0,4.0,-14.0,2,False,0,True,100.0,150.0,125.0,2,False,15.0,20.0,17.5,2,False,12.0,50.0,31.0,2,False,100.0,150.0,15.0,20.0,12.0,50.0,1,2.5,4.0,3,,1937.5,-15.5,72.21999999999984,Conditionally_Compatible,0.8529108818695353,4.061421504478915e-14,-1.5631940186722204e-13,True,1.0,1.0,0.0
